Column1,Manual.summary,Classification Joaquin,Classification Rui,Classification Ed,Average_Classification
0,"Speaking at the IMF in Washington,  ECB  President  Christine Lagarde  reaffirmed her commitment to fighting inflation and warned of the risks to financial stability in the euro area. In order to bring inflation back to 2%, Ms Lagarde announced further interest rate hikes, and declared that the first signs of rising credit risk could already be seen. She also called for fiscal policy measures to be temporary and targeted to be in line with monetary policy. ",1,1,1,1.0
1,"Starting in October, the  ECB  wants to use a new climate score to restructure its portfolio of corporate bonds in such a way that companies with a better climate balance are preferred to those with a worse one. The  central bank  published the relevant details on Monday. According to earlier  ECB  information, the volume involved will be around EUR 30 billion per year over the next few years. Since taking office in November 2019,  ECB  President  Christine Lagarde  has been pushing for the  ECB  to play a more active role in the fight against climate change. However, this is controversial, partly also in the  ECB  Governing Council. The climate score now published is made up of three sub-components: The backward-looking issuance sub-score is based on issuers' past issuances. This examines how the companies perform compared to their peers in a given sector as well as compared to all eligible bond issuers. The forward-looking sub-score is based on the targets the issuers have set for reducing their greenhouse gas emissions. In addition, the climate risk disclosure sub-score assesses issuers' reporting of their greenhouse gas emissions. Greenpeace criticised on Monday that the  ECB  did not take a more rigorous approach and exclude climate sinners and sell their securities. ""Instead, the  ECB  has obviously only opted for cosmetic changes. In this way, it joins the illustrious round of green label swindlers who shun credible climate protection.""",0,0,0,0.0
2,"ECB  Chief Economist Philip Lane has proposed taxing high incomes or corporate profits to fund aid to the weakest to deal with inflation, as this would avoid a growing public deficit. The idea of taxing the wealthiest is already gaining ground within the euro area. Governments should support the income and consumption of those households and firms that are suffering the most, Mr Lane has noted in an interview with Der Standard. ""The big question is whether part of this support ought to be financed by tax increases for those that are better off"", he said, explaining that this could take the form of higher taxes on higher earners or on industries and firms that are highly profitable in spite of the energy shock. The  ECB  is in favour of targeted state aid in order to protect households from the impact of inflation, as  ECB  President  Christine Lagarde  told the  European  Parliament on Monday.",1,0,1,0.6666666666666666
3,"Former German Chancellor Angela Merkel has received the State Prize of North Rhine-Westphalia. In her laudatory speech,  ECB  President  Christine Lagarde  praised Ms Merkel as an exceptional political figure. She is unique, incomparable and inimitable, Ms Lagarde said.",0,0,0,0.0
4,"The  ECB  has raised its interest rates again by 0.25 percentage points. The  central bank  justified this by saying that inflation is continuing to decline but it is still too high. The  ECB  is aiming for an inflation rate of 2%, but ",1,1,1,1.0
5,"Banco de España Governor  Pablo Hernández de Cos  defended the full implementation of the Basel III banking reform package because the Covid-19 crisis was not a real stress test for the banking sector. Mr Hernández de Cos expressed his concern about the time horizon for the implementation of the Basel III reforms in  Europe , hoping that at least it will be 1 January 2025. Regarding the consistency of implementation, Mr Hernández de Cos acknowledged that the  European  Commission's initial proposal included additional deviations to those that already exist in  European  legislation, while the texts approved by the Council and the Parliament did not reduce the number of deviations. Mr Hernández de Cos called for these deviations to be limited as far as possible and for new ones to be introduced.",0,0,0,0.0
6,"In an analysis, IG France Head of Market Research Alexandre Baradez notes that Italy's rates should not deviate too much from Germany's because the  ECB  would have to intervene to avoid stress on government bonds and a new crisis in the euro area.  ECB  President  Christine Lagarde  and the  ECB 's Governing Council are watching what is happening on sovereign bonds, particularly the spread between rates. The current interest rate differential is not worrying yet, but the  ECB  is monitoring it closely. This spread of rates will force the  ECB  to pay attention to its rate hikes and adjust the size of its balance sheet to avoid new bond stress.",1,0,0,0.3333333333333333
7,"Journalist Kristine Aquino points out that, within 24 hours, the US Federal Reserve, the Bank of England and the  ECB  all admitted there is still work to be done to bring inflation under control. They suggested they would consider a pause at some point, but neither of the  central banks  is quite there. But the bond market heard what it wanted: that there will be a pause, Ms Aquino remarks. According to journalist Alexander Weber, there is little to indicate that the  ECB  is close to ending its rate hike cycle from its statements on 2 February. The  ECB  Governing Council intends to raise rates by 50 basis points in March and then reevaluate the situation. In the press conference following the meeting,  ECB  President  Christine Lagarde  tried to dispel the notion that the  ECB  is close to being done. Ms Lagarde said there was more ground to cover. The concerns about core inflation and wage growth accelerating point to further tightening measures, Mr Weber believes. He adds that if the tightening message does not filter through to the market, hawkish  ECB  Governing Council members could reassure market participants that the  ECB  will continue to hike its rates. Ms Aquino suggests that the markets could be questioning whether the  ECB  can stay the course when the Fed has already hinted at a soon end of the rate hike cycle.",1,1,1,1.0
8,"An opinion piece on inflation in the euro area argues that the  ECB  fears a repeat of the 2012 crisis and has taken the lead by working on a tool to stabilise the interest rate differentials between the various public debts. The Italian ten-year rate, which had risen to 4.20% in mid-June, has come down. The country now has a ten-year debt of 3.10%, while Germany borrows at 1.12% and France at 1.64%. However, the rates could rise again due to inflation. In June, inflation reached 8.6% year-on-year in the euro area.  ECB  President  Christine Lagarde  has already announced a rate hike for the  ECB 's meeting on 21 July. Deutsche Bundesbank President  Joachim Nagel  is pushing for a sharp and rapid rise in interest rates to combat inflation and the weakness of the euro. In mid-June,  ECB  Executive Board Member  Isabel Schnabel  said that the risk of fragmentation would only disappear with the evolution of the institutional architecture of the euro area.",1,1,1,1.0
9,"During the press conference on Thursday where it was decided to raise interest rates by 25 basis points,  ECB  President  Christine Lagarde  emphasised that the euro area economy outlook remains uncertain due to several factors, including the possibility that the  ECB  monetary policy effects would prove stronger than expected, accentuating downside risks. Ms Lagarde also explained that the large  TLTRO  repayment in June went smoothly, as banks were well prepared.",1,1,1,1.0
