Country,Capital Key %,Paid-up Capital (€)
Belgium,3.0005,324804337.12
Germany,21.7749,2357134464.4
Estonia,0.2437,26380542.23
Ireland,1.7811,192804200.92
Greece,1.8474,199981180.6
Spain,9.669,1046669933.56
France,16.3575,1770700531.41
Croatia,0.6329,68511469.74
Italy,13.0993,1418000151.07
Cyprus,0.1802,19506662.74
Latvia,0.3169,34304447.4
Lithuania,0.4826,52241484.12
Luxembourg,0.2976,32215221.04
Malta,0.1053,11398732.44
The Netherlands,4.8306,522912791.5
Austria,2.4175,261694545.91
Portugal,1.9014,205826684.42
Slovenia,0.4041,43743853.57
Slovakia,0.9403,101787541.48
Finland,1.4853,160783830.0
