Date,Title,Link,Article
11 April 2024,MONETARY POLICY DECISION,https://www.ecb.europa.eu//press/pr/date/2024/html/ecb.mp240411~1345644915.en.html,"The Governing Council today decided to keep the three key ECB interest rates unchanged. The incoming information has broadly confirmed the Governing Council's previous assessment of the medium-term inflation outlook. Inflation has continued to fall, led by lower food and goods price inflation. Most measures of underlying inflation are easing, wage growth is gradually moderating, and firms are absorbing part of the rise in labour costs in their profits. Financing conditions remain restrictive and the past interest rate increases continue to weigh on demand, which is helping to push down inflation. But domestic price pressures are strong and are keeping services price inflation high. The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. It considers that the key ECB interest rates are at levels that are making a substantial contribution to the ongoing disinflation process. The Governing Council's future decisions will ensure that its policy rates will stay sufficiently restrictive for as long as necessary. If the Governing Council's updated assessment of the inflation outlook, the dynamics of underlying inflation and the strength of monetary policy transmission were to further increase its confidence that inflation is converging to the target in a sustained manner, it would be appropriate to reduce the current level of monetary policy restriction. In any event, the Governing Council will continue to follow a data-dependent and meeting-by-meeting approach to determining the appropriate level and duration of restriction, and it is not pre-committing to a particular rate path.Key ECB interest ratesThe interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 4.50%, 4.75% and 4.00% respectively.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.The Governing Council intends to continue to reinvest, in full, the principal payments from maturing securities purchased under the PEPP during the first half of 2024. Over the second half of the year, it intends to reduce the PEPP portfolio by EUR7.5 billion per month on average. The Governing Council intends to discontinue reinvestments under the PEPP at the end of 2024.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate.The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
7 March 2024,MONETARY POLICY DECISION,https://www.ecb.europa.eu//press/pr/date/2024/html/ecb.mp240307~a5fa52b82b.en.html,"The Governing Council today decided to keep the three key ECB interest rates unchanged. Since the last Governing Council meeting in January, inflation has declined further. In the latest ECB staff projections, inflation has been revised down, in particular for 2024 which mainly reflects a lower contribution from energy prices. Staff now project inflation to average 2.3% in 2024, 2.0% in 2025 and 1.9% in 2026. The projections for inflation excluding energy and food have also been revised down and average 2.6% for 2024, 2.1% for 2025 and 2.0% for 2026. Although most measures of underlying inflation have eased further, domestic price pressures remain high, in part owing to strong growth in wages. Financing conditions are restrictive and the past interest rate increases continue to weigh on demand, which is helping push down inflation. Staff have revised down their growth projection for 2024 to 0.6%, with economic activity expected to remain subdued in the near term. Thereafter, staff expect the economy to pick up and to grow at 1.5% in 2025 and 1.6% in 2026, supported initially by consumption and later also by investment. The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. Based on its current assessment, the Governing Council considers that the key ECB interest rates are at levels that, maintained for a sufficiently long duration, will make a substantial contribution to this goal. The Governing Council's future decisions will ensure that policy rates will be set at sufficiently restrictive levels for as long as necessary. The Governing Council will continue to follow a data-dependent approach to determining the appropriate level and duration of restriction. In particular, the Governing Council's interest rate decisions will be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation and the strength of monetary policy transmission.Key ECB interest ratesThe interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 4.50%, 4.75% and 4.00% respectively.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.The Governing Council intends to continue to reinvest, in full, the principal payments from maturing securities purchased under the PEPP during the first half of 2024. Over the second half of the year, it intends to reduce the PEPP portfolio by EUR7.5 billion per month on average. The Governing Council intends to discontinue reinvestments under the PEPP at the end of 2024.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate.The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
25 January 2024,MONETARY POLICY DECISION,https://www.ecb.europa.eu//press/pr/date/2024/html/ecb.mp240125~f738889bde.en.html,"The Governing Council today decided to keep the three key ECB interest rates unchanged. The incoming information has broadly confirmed its previous assessment of the medium-term inflation outlook. Aside from an energy-related upward base effect on headline inflation, the declining trend in underlying inflation has continued, and the past interest rate increases keep being transmitted forcefully into financing conditions. Tight financing conditions are dampening demand, and this is helping to push down inflation.The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. Based on its current assessment, the Governing Council considers that the key ECB interest rates are at levels that, maintained for a sufficiently long duration, will make a substantial contribution to this goal. The Governing Council's future decisions will ensure that its policy rates will be set at sufficiently restrictive levels for as long as necessary.The Governing Council will continue to follow a data-dependent approach to determining the appropriate level and duration of restriction. In particular, the Governing Council's interest rate decisions will be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation and the strength of monetary policy transmission.Key ECB interest ratesThe interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 4.50%, 4.75% and 4.00% respectively.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.The Governing Council intends to continue to reinvest, in full, the principal payments from maturing securities purchased under the PEPP during the first half of 2024. Over the second half of the year, it intends to reduce the PEPP portfolio by EUR7.5 billion per month on average. The Governing Council intends to discontinue reinvestments under the PEPP at the end of 2024.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate.The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
14 December 2023,MONETARY POLICY DECISION,https://www.ecb.europa.eu//press/pr/date/2023/html/ecb.mp231214~9846e62f62.en.html,"The Governing Council today decided to keep the three key ECB interest rates unchanged. While inflation has dropped in recent months, it is likely to pick up again temporarily in the near term. According to the latest Eurosystem staff projections for the euro area, inflation is expected to decline gradually over the course of next year, before approaching the Governing Council's 2% target in 2025. Overall, staff expect headline inflation to average 5.4% in 2023, 2.7% in 2024, 2.1% in 2025 and 1.9% in 2026. Compared with the September staff projections, this amounts to a downward revision for 2023 and especially for 2024.Underlying inflation has eased further. But domestic price pressures remain elevated, primarily owing to strong growth in unit labour costs. Eurosystem staff expect inflation excluding energy and food to average 5.0% in 2023, 2.7% in 2024, 2.3% in 2025 and 2.1% in 2026.The past interest rate increases continue to be transmitted forcefully to the economy. Tighter financing conditions are dampening demand, and this is helping to push down inflation. Eurosystem staff expect economic growth to remain subdued in the near term. Beyond that, the economy is expected to recover because of rising real incomes - as people benefit from falling inflation and growing wages - and improving foreign demand. Eurosystem staff therefore see growth picking up from an average of 0.6% for 2023 to 0.8% for 2024, and to 1.5% for both 2025 and 2026.The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. Based on its current assessment, the Governing Council considers that the key ECB interest rates are at levels that, maintained for a sufficiently long duration, will make a substantial contribution to this goal. The Governing Council's future decisions will ensure that its policy rates will be set at sufficiently restrictive levels for as long as necessary.The Governing Council will continue to follow a data-dependent approach to determining the appropriate level and duration of restriction. In particular, its interest rate decisions will be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation and the strength of monetary policy transmission.The key ECB interest rates are the primary tool for setting the monetary policy stance. The Governing Council also decided today to advance the normalisation of the Eurosystem's balance sheet. It intends to continue to reinvest, in full, the principal payments from maturing securities purchased under the pandemic emergency purchase programme (PEPP) during the first half of 2024. Over the second half of the year, it intends to reduce the PEPP portfolio by EUR7.5 billion per month on average. The Governing Council intends to discontinue reinvestments under the PEPP at the end of 2024.Key ECB interest ratesThe interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 4.50%, 4.75% and 4.00% respectively.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.The Governing Council intends to continue to reinvest, in full, the principal payments from maturing securities purchased under the PEPP during the first half of 2024. Over the second half of the year, it intends to reduce the PEPP portfolio by EUR7.5 billion per month on average. The Governing Council intends to discontinue reinvestments under the PEPP at the end of 2024.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
26 October 2023,MONETARY POLICY DECISION,https://www.ecb.europa.eu//press/pr/date/2023/html/ecb.mp231026~6028cea576.en.html,"The Governing Council today decided to keep the three key ECB interest rates unchanged. The incoming information has broadly confirmed its previous assessment of the medium-term inflation outlook. Inflation is still expected to stay too high for too long, and domestic price pressures remain strong. At the same time, inflation dropped markedly in September, including due to strong base effects, and most measures of underlying inflation have continued to ease. The Governing Council's past interest rate increases continue to be transmitted forcefully into financing conditions. This is increasingly dampening demand and thereby helps push down inflation. The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. Based on its current assessment, the Governing Council considers that the key ECB interest rates are at levels that, maintained for a sufficiently long duration, will make a substantial contribution to this goal. The Governing Council's future decisions will ensure that its policy rates will be set at sufficiently restrictive levels for as long as necessary. The Governing Council will continue to follow a data-dependent approach to determining the appropriate level and duration of restriction. In particular, the Governing Council's interest rate decisions will be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation and the strength of monetary policy transmission.Key ECB interest ratesThe interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 4.50%, 4.75% and 4.00% respectively.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities.As concerns the PEPP, the Governing Council intends to reinvest the principal payments from maturing securities purchased under the programme until at least the end of 2024. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
14 September 2023,MONETARY POLICY DECISION,https://www.ecb.europa.eu//press/pr/date/2023/html/ecb.mp230914~aab39f8c21.en.html,"Inflation continues to decline but is still expected to remain too high for too long. The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. In order to reinforce progress towards its target, the Governing Council today decided to raise the three key ECB interest rates by 25 basis points.The rate increase today reflects the Governing Council's assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation, and the strength of monetary policy transmission. The September ECB staff macroeconomic projections for the euro area see average inflation at 5.6% in 2023, 3.2% in 2024 and 2.1% in 2025. This is an upward revision for 2023 and 2024 and a downward revision for 2025. The upward revision for 2023 and 2024 mainly reflects a higher path for energy prices. Underlying price pressures remain high, even though most indicators have started to ease. ECB staff have slightly revised down the projected path for inflation excluding energy and food, to an average of 5.1% in 2023, 2.9% in 2024 and 2.2% in 2025. The Governing Council's past interest rate increases continue to be transmitted forcefully. Financing conditions have tightened further and are increasingly dampening demand, which is an important factor in bringing inflation back to target. With the increasing impact of this tightening on domestic demand and the weakening international trade environment, ECB staff have lowered their economic growth projections significantly. They now expect the euro area economy to expand by 0.7% in 2023, 1.0% in 2024 and 1.5% in 2025. Based on its current assessment, the Governing Council considers that the key ECB interest rates have reached levels that, maintained for a sufficiently long duration, will make a substantial contribution to the timely return of inflation to the target. The Governing Council's future decisions will ensure that the key ECB interest rates will be set at sufficiently restrictive levels for as long as necessary. The Governing Council will continue to follow a data-dependent approach to determining the appropriate level and duration of restriction. In particular, the Governing Council's interest rate decisions will be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation, and the strength of monetary policy transmission.Key ECB interest ratesThe Governing Council decided to raise the three key ECB interest rates by 25 basis points. Accordingly, the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will be increased to 4.50%, 4.75% and 4.00% respectively, with effect from 20 September 2023.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities. As concerns the PEPP, the Governing Council intends to reinvest the principal payments from maturing securities purchased under the programme until at least the end of 2024. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
27 July 2023,MONETARY POLICY DECISION,https://www.ecb.europa.eu//press/pr/date/2023/html/ecb.mp230727~da80cfcf24.en.html,"Inflation continues to decline but is still expected to remain too high for too long. The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. It therefore today decided to raise the three key ECB interest rates by 25 basis points. The rate increase today reflects the Governing Council's assessment of the inflation outlook, the dynamics of underlying inflation, and the strength of monetary policy transmission. The developments since the last meeting support the expectation that inflation will drop further over the remainder of the year but will stay above target for an extended period. While some measures show signs of easing, underlying inflation remains high overall. The past rate increases continue to be transmitted forcefully: financing conditions have tightened again and are increasingly dampening demand, which is an important factor in bringing inflation back to target.The Governing Council's future decisions will ensure that the key ECB interest rates will be set at sufficiently restrictive levels for as long as necessary to achieve a timely return of inflation to the 2% medium-term target. The Governing Council will continue to follow a data-dependent approach to determining the appropriate level and duration of restriction. In particular, its interest rate decisions will continue to be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation, and the strength of monetary policy transmission.The Governing Council also decided to set the remuneration of minimum reserves at 0%. This decision will preserve the effectiveness of monetary policy by maintaining the current degree of control over the monetary policy stance and ensuring the full pass-through of the interest rate decisions to money markets. At the same time, it will improve the efficiency of monetary policy by reducing the overall amount of interest that needs to be paid on reserves in order to implement the appropriate stance.The details of the change to the remuneration of minimum reserves are provided in a separate press release to be published at 15:45 CET.Key ECB interest ratesThe Governing Council decided to raise the three key ECB interest rates by 25 basis points. Accordingly, the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will be increased to 4.25%, 4.50% and 3.75% respectively, with effect from 2 August 2023.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities. As concerns the PEPP, the Governing Council intends to reinvest the principal payments from maturing securities purchased under the programme until at least the end of 2024. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
27 July 2023,MONETARY POLICY DECISION,https://www.ecb.europa.eu//press/pr/date/2023/html/ecb.mp230727~da80cfcf24.en.html,"Inflation continues to decline but is still expected to remain too high for too long. The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. It therefore today decided to raise the three key ECB interest rates by 25 basis points. The rate increase today reflects the Governing Council's assessment of the inflation outlook, the dynamics of underlying inflation, and the strength of monetary policy transmission. The developments since the last meeting support the expectation that inflation will drop further over the remainder of the year but will stay above target for an extended period. While some measures show signs of easing, underlying inflation remains high overall. The past rate increases continue to be transmitted forcefully: financing conditions have tightened again and are increasingly dampening demand, which is an important factor in bringing inflation back to target.The Governing Council's future decisions will ensure that the key ECB interest rates will be set at sufficiently restrictive levels for as long as necessary to achieve a timely return of inflation to the 2% medium-term target. The Governing Council will continue to follow a data-dependent approach to determining the appropriate level and duration of restriction. In particular, its interest rate decisions will continue to be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation, and the strength of monetary policy transmission.The Governing Council also decided to set the remuneration of minimum reserves at 0%. This decision will preserve the effectiveness of monetary policy by maintaining the current degree of control over the monetary policy stance and ensuring the full pass-through of the interest rate decisions to money markets. At the same time, it will improve the efficiency of monetary policy by reducing the overall amount of interest that needs to be paid on reserves in order to implement the appropriate stance.The details of the change to the remuneration of minimum reserves are provided in a separate press release to be published at 15:45 CET.Key ECB interest ratesThe Governing Council decided to raise the three key ECB interest rates by 25 basis points. Accordingly, the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will be increased to 4.25%, 4.50% and 3.75% respectively, with effect from 2 August 2023.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem no longer reinvests the principal payments from maturing securities. As concerns the PEPP, the Governing Council intends to reinvest the principal payments from maturing securities purchased under the programme until at least the end of 2024. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
15 June 2023,MONETARY POLICY DECISION,https://www.ecb.europa.eu//press/pr/date/2023/html/ecb.mp230615~d34cddb4c6.en.html,"Inflation has been coming down but is projected to remain too high for too long. The Governing Council is determined to ensure that inflation returns to its 2% medium-term target in a timely manner. It therefore today decided to raise the three key ECB interest rates by 25 basis points.The rate increase today reflects the Governing Council's updated assessment of the inflation outlook, the dynamics of underlying inflation, and the strength of monetary policy transmission. According to the June macroeconomic projections, Eurosystem staff expect headline inflation to average 5.4% in 2023, 3.0% in 2024 and 2.2% in 2025. Indicators of underlying price pressures remain strong, although some show tentative signs of softening. Staff have revised up their projections for inflation excluding energy and food, especially for this year and next year, owing to past upward surprises and the implications of the robust labour market for the speed of disinflation. They now see it reaching 5.1% in 2023, before it declines to 3.0% in 2024 and 2.3% in 2025. Staff have slightly lowered their economic growth projections for this year and next year. They now expect the economy to grow by 0.9% in 2023, 1.5% in 2024 and 1.6% in 2025.At the same time, the Governing Council's past rate increases are being transmitted forcefully to financing conditions and are gradually having an impact across the economy. Borrowing costs have increased steeply and growth in loans is slowing. Tighter financing conditions are a key reason why inflation is projected to decline further towards target, as they are expected to increasingly dampen demand. The Governing Council's future decisions will ensure that the key ECB interest rates will be brought to levels sufficiently restrictive to achieve a timely return of inflation to the 2% medium-term target and will be kept at those levels for as long as necessary. The Governing Council will continue to follow a data-dependent approach to determining the appropriate level and duration of restriction. In particular, its interest rate decisions will continue to be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation, and the strength of monetary policy transmission.The Governing Council confirms that it will discontinue the reinvestments under the asset purchase programme as of July 2023.Key ECB interest ratesThe Governing Council decided to raise the three key ECB interest rates by 25 basis points. Accordingly, the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will be increased to 4.00%, 4.25% and 3.50% respectively, with effect from 21 June 2023.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem does not reinvest all of the principal payments from maturing securities. The decline will amount to EUR15 billion per month on average until the end of June 2023. The Governing Council will discontinue the reinvestments under the APP as of July 2023.As concerns the PEPP, the Governing Council intends to reinvest the principal payments from maturing securities purchased under the programme until at least the end of 2024. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations and their ongoing repayment are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
4 May 2023,MONETARY POLICY DECISION,https://www.ecb.europa.eu//press/pr/date/2023/html/ecb.mp230504~cdfd11a697.en.html,"The inflation outlook continues to be too high for too long. In light of the ongoing high inflation pressures, the Governing Council today decided to raise the three key ECB interest rates by 25 basis points. Overall, the incoming information broadly supports the assessment of the medium-term inflation outlook that the Governing Council formed at its previous meeting. Headline inflation has declined over recent months, but underlying price pressures remain strong. At the same time, the past rate increases are being transmitted forcefully to euro area financing and monetary conditions, while the lags and strength of transmission to the real economy remain uncertain.The Governing Council's future decisions will ensure that the policy rates will be brought to levels sufficiently restrictive to achieve a timely return of inflation to the 2% medium-term target and will be kept at those levels for as long as necessary. The Governing Council will continue to follow a data-dependent approach to determining the appropriate level and duration of restriction. In particular, the Governing Council's policy rate decisions will continue to be based on its assessment of the inflation outlook in light of the incoming economic and financial data, the dynamics of underlying inflation, and the strength of monetary policy transmission. The key ECB interest rates remain the Governing Council's primary tool for setting the monetary policy stance. In parallel, the Governing Council will keep reducing the Eurosystem's asset purchase programme (APP) portfolio at a measured and predictable pace. In line with these principles, the Governing Council expects to discontinue the reinvestments under the APP as of July 2023.Key ECB interest ratesThe Governing Council decided to raise the three key ECB interest rates by 25 basis points. Accordingly, the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will be increased to 3.75%, 4.00% and 3.25% respectively, with effect from 10 May 2023.Asset purchase programme (APP) and pandemic emergency purchase programme (PEPP)The APP portfolio is declining at a measured and predictable pace, as the Eurosystem does not reinvest all of the principal payments from maturing securities. The decline will amount to EUR15 billion per month on average until the end of June 2023. The Governing Council expects to discontinue the reinvestments under the APP as of July 2023.As concerns the PEPP, the Governing Council intends to reinvest the principal payments from maturing securities purchased under the programme until at least the end of 2024. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance.The Governing Council will continue applying flexibility in reinvesting redemptions coming due in the PEPP portfolio, with a view to countering risks to the monetary policy transmission mechanism related to the pandemic.Refinancing operationsAs banks are repaying the amounts borrowed under the targeted longer-term refinancing operations, the Governing Council will regularly assess how targeted lending operations are contributing to its monetary policy stance. ***The Governing Council stands ready to adjust all of its instruments within its mandate to ensure that inflation returns to its 2% target over the medium term and to preserve the smooth functioning of monetary policy transmission. The ECB's policy toolkit is fully equipped to provide liquidity support to the euro area financial system if needed. Moreover, the Transmission Protection Instrument is available to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across all euro area countries, thus allowing the Governing Council to more effectively deliver on its price stability mandate. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:45 CET today."
