Full Name,First Name,Surname,Country,Position,Executive Role
Christine Lagarde,Christine,Lagarde,France,Executive Board,President
Luis de Guindos,Luis,de Guindos,Spain,Executive Board,Vice President
Piero Cipollone,Piero,Cipollone,Italy,Executive Board,Member of the Executive Board
Philip Lane,Philip,Lane,Republic of Ireland,Executive Board,Member of the Executive Board & Chief Economist
Frank Elderson,Frank,Elderson,Netherlands,Executive Board,Member of the Executive Board; Vice-chair of the Supervisory board
Isabel Schnabel,Isabel,Schnabel,Germany,Executive Board,Member of the Executive Board
Pablo Hernandez de Cos,Pablo,Hernandez de Cos,Spain,National Governor,
Joachim Nagel,Joachim,Nagel,Germany,National Governor,
Pierre Wunsch,Pierre,Wunsch,Belgium,National Governor,
Yannis Stournaras,Yannis,Stournaras,Greece,National Governor,
Boris Vujcic,Boris,Vujcic,Croatia,National Governor,
Gaston Reinesch,Gaston,Reinesch,Luxembourg,National Governor,
Francois Villeroy de Galhau,Francois,Villeroy de Galhau,France,National Governor,
Robert Holzmann,Robert,Holzmann,Austria,National Governor,
Peter Kazimir,Peter,Kazimir,Slovakia,National Governor,
Gediminas Simkus,Gediminas,Simkus,Lithuania,National Governor,
Olli Rehn,Olli,Rehn,Finland,National Governor,
Mario Centeno,Mario,Centeno,Portugal,National Governor,
Edward Scicluna,Edward,Scicluna,Malta,National Governor,
Bostjan Vasle,Bostjan,Vasle,Slovenia,National Governor,
Madis Muller,Madis,Muller,Estonia,National Governor,
Martins Kazaks,Martins,Kazaks,Latvia,National Governor,
Klaas Knot,Klaas,Knot,Netherlands,National Governor,
Constantinos Herodotou,Constantinos,Herodotou,Cyprus,National Governor,
Gabriel Makhlouf,Gabriel,Makhlouf,Republic of Ireland,National Governor,
Fabio Panetta,Fabio,Panetta,Italy,National Governor,
Ignazio Visco,Ignazio,Visco,Italy,National Governor,
